Lat,Lon,μ,ϕ,ξ
47.71205,-118.99678,0.0,0.0,0.0
47.74623,-118.874084,0.0,0.0,0.0
47.78027,-118.75122,0.0,0.0,0.0
47.81416,-118.628204,0.0,0.0,0.0
47.847908,-118.504974,0.0,0.0,0.0
47.881504,-118.38162,0.0,0.0,0.0
47.91494,-118.25809,0.0,0.0,0.0
47.948235,-118.1344,0.0,0.0,0.0
47.981396,-118.01047,0.0,0.0,0.0
48.014397,-117.886444,0.0,0.0,0.0
48.04724,-117.76224,0.0,0.0,0.0
48.079937,-117.63788,0.0,0.0,0.0
48.112488,-117.513306,0.0,0.0,0.0
48.144897,-117.388596,0.0,0.0,0.0
48.17714,-117.2637,0.0,0.0,0.0
48.209232,-117.13867,0.0,0.0,0.0
48.241188,-117.01343,0.0,0.0,0.0
48.272972,-116.88806,0.0,0.0,0.0
48.304607,-116.76253,0.0,0.0,0.0
48.336098,-116.636826,0.0,0.0,0.0
48.367424,-116.510956,0.0,0.0,0.0
48.39862,-116.38489,0.0,0.0,0.0
48.429646,-116.2587,0.0,0.0,0.0
48.460514,-116.132355,0.0,0.0,0.0
48.491226,-116.00583,0.0,0.0,0.0
48.521793,-115.87912,0.0,0.0,0.0
48.552204,-115.752304,0.0,0.0,0.0
48.58246,-115.625275,0.0,0.0,0.0
48.61255,-115.49811,0.0,0.0,0.0
48.642487,-115.37076,0.0,0.0,0.0
48.672268,-115.243286,0.0,0.0,0.0
48.70189,-115.11565,0.0,0.0,0.0
48.73136,-114.98784,0.0,0.0,0.0
48.760674,-114.85986,0.0,0.0,0.0
48.78983,-114.731735,0.0,0.0,0.0
48.81882,-114.603455,28.47261506682773,2.2535435437443114,0.4578945044570677
48.84765,-114.47504,24.816102996923824,2.012151558481774,0.7216811366443389
48.876335,-114.346436,26.38383145642424,2.3063466061227818,0.3371645915417039
48.90485,-114.21771,30.038121295174907,2.2392829086735038,0.3707356404261002
48.93321,-114.088806,28.075924647830664,2.0287695559494807,0.5940214132308402
48.9614,-113.95975,28.95449522136937,2.1993944728755075,-0.05891072058314416
48.989445,-113.830505,0.0,0.0,0.0
49.017315,-113.70116,0.0,0.0,0.0
49.045025,-113.571655,0.0,0.0,0.0
49.072586,-113.441986,0.0,0.0,0.0
49.09997,-113.31218,0.0,0.0,0.0
49.127205,-113.182175,0.0,0.0,0.0
49.15428,-113.05206,0.0,0.0,0.0
49.18118,-112.9218,0.0,0.0,0.0
45.570034,-125.8736,0.0,0.0,0.0
45.612164,-125.76103,0.0,0.0,0.0
45.654182,-125.648285,0.0,0.0,0.0
45.696075,-125.53531,0.0,0.0,0.0
45.737843,-125.422195,0.0,0.0,0.0
45.77947,-125.308914,0.0,0.0,0.0
45.82098,-125.195435,0.0,0.0,0.0
45.862362,-125.08179,0.0,0.0,0.0
45.90362,-124.967926,0.0,0.0,0.0
45.94475,-124.8539,0.0,0.0,0.0
45.98574,-124.7397,0.0,0.0,0.0
46.02661,-124.62532,0.0,0.0,0.0
46.067356,-124.51074,0.0,0.0,0.0
46.10796,-124.39603,0.0,0.0,0.0
46.148434,-124.2811,0.0,0.0,0.0
46.188778,-124.166,0.0,0.0,0.0
46.22901,-124.05069,0.0,0.0,0.0
46.269096,-123.93524,0.0,0.0,0.0
46.309048,-123.81961,0.0,0.0,0.0
46.348873,-123.7038,0.0,0.0,0.0
46.388557,-123.58778,0.0,0.0,0.0
46.42812,-123.47162,0.0,0.0,0.0
46.467545,-123.355255,0.0,0.0,0.0
46.506836,-123.23871,0.0,0.0,0.0
46.545994,-123.121994,0.0,0.0,0.0
46.58502,-123.0051,0.0,0.0,0.0
46.62391,-122.888016,0.0,0.0,0.0
