Name,Province,ID,Lat,Lon,Elevation,Number of years,CSV filename,Original filename
CASTLEGAR A,BC,1141455,49.3,-117.63,495.0,100,1141455.csv,idf_v-3.20_2021_03_26_114_BC_1141455_CASTLEGAR_A.txt
CASTLEGAR BCHPA DAM,BC,1141457,49.33,-117.77,435.0,101,1141457.csv,idf_v-3.20_2021_03_26_114_BC_1141457_CASTLEGAR_BCHPA_DAM.txt
DUNCAN LAKE DAM,BC,1142574,50.23,-116.97,548.0,102,1142574.csv,idf_v-3.20_2021_03_26_114_BC_1142574_DUNCAN_LAKE_DAM.txt
FAUQUIER,BC,1142820,49.87,-118.07,490.0,103,1142820.csv,idf_v-3.20_2021_03_26_114_BC_1142820_FAUQUIER.txt
TRAIL BIRCHBANK,BC,1148211,49.2,-117.73,594.0,104,1148211.csv,idf_v-3.20_2021_03_26_114_BC_1148211_TRAIL_BIRCHBANK.txt
CRESTON CAMPBELL SCIENTIFIC,BC,114B1F0,49.08,-116.5,640.0,105,114B1F0.csv,idf_v-3.20_2021_03_26_114_BC_114B1F0_CRESTON_CAMPBELL_SCIENTIFIC.txt
CRANBROOK A,BC,1152102,49.62,-115.78,940.0,106,1152102.csv,idf_v-3.20_2021_03_26_115_BC_1152102_CRANBROOK_A.txt
KIMBERLEY PCC,BC,1154203,49.63,-115.97,889.0,107,1154203.csv,idf_v-3.20_2021_03_26_115_BC_1154203_KIMBERLEY_PCC.txt
SPARWOOD CS,BC,1157631,49.73,-114.88,1136.0,108,1157631.csv,idf_v-3.20_2021_03_26_115_BC_1157631_SPARWOOD_CS.txt
BLUE RIVER CS,BC,1160H99,52.13,-119.28,682.0,109,1160H99.csv,idf_v-3.20_2021_03_26_116_BC_1160H99_BLUE_RIVER_CS.txt
KAMLOOPS AUT,BC,1163842,50.7,-120.43,345.0,110,1163842.csv,idf_v-3.20_2021_03_26_116_BC_1163842_KAMLOOPS_AUT.txt
SALMON ARM A,BC,1166R45,50.68,-119.23,527.0,111,1166R45.csv,idf_v-3.20_2021_03_26_116_BC_1166R45_SALMON_ARM_A.txt
GOLDEN A,BC,1173210,51.3,-116.98,784.0,112,1173210.csv,idf_v-3.20_2021_03_26_117_BC_1173210_GOLDEN_A.txt
MICA DAM,BC,1175122,52.05,-118.58,579.0,113,1175122.csv,idf_v-3.20_2021_03_26_117_BC_1175122_MICA_DAM.txt
REVELSTOKE AIRPORT AUTO,BC,1176755,50.97,-118.18,444.0,114,1176755.csv,idf_v-3.20_2021_03_26_117_BC_1176755_REVELSTOKE_AIRPORT_AUTO.txt
VALEMOUNT NORTH,BC,1178CL9,52.85,-119.25,891.0,115,1178CL9.csv,idf_v-3.20_2021_03_26_117_BC_1178CL9_VALEMOUNT_NORTH.txt
YOHO PARK,BC,11790J1,51.43,-116.33,1602.0,116,11790J1.csv,idf_v-3.20_2021_03_26_117_BC_11790J1_YOHO_PARK.txt
YOHO NAT PARK BOULDER CR,BC,117R00F,51.38,-116.53,1219.0,117,117R00F.csv,idf_v-3.20_2021_03_26_117_BC_117R00F_YOHO_NAT_PARK_BOULDER_CR.txt
CHETWYND A,BC,1181508,55.68,-121.63,609.0,118,1181508.csv,idf_v-3.20_2021_03_26_118_BC_1181508_CHETWYND_A.txt
DAWSON CREEK A,BC,1182285,55.73,-120.18,654.0,119,1182285.csv,idf_v-3.20_2021_03_26_118_BC_1182285_DAWSON_CREEK_A.txt
FORT ST JOHN A,BC,1183000,56.23,-120.73,694.0,120,1183000.csv,idf_v-3.20_2021_03_26_118_BC_1183000_FORT_ST_JOHN_A.txt
GERMANSEN LANDING,BC,1183090,55.78,-124.7,766.0,121,1183090.csv,idf_v-3.20_2021_03_26_118_BC_1183090_GERMANSEN_LANDING.txt
HUDSON HOPE BCHPA DAM,BC,1183FL0,56.02,-122.2,678.0,122,1183FL0.csv,idf_v-3.20_2021_03_26_118_BC_1183FL0_HUDSON_HOPE_BCHPA_DAM.txt
MACKENZIE AIRPORT AUTO,BC,1184793,55.32,-123.13,694.0,123,1184793.csv,idf_v-3.20_2021_03_26_118_BC_1184793_MACKENZIE_AIRPORT_AUTO.txt
SIKANNI CHIEF,BC,1187335,57.25,-122.72,937.0,124,1187335.csv,idf_v-3.20_2021_03_26_118_BC_1187335_SIKANNI_CHIEF.txt
WARE,BC,1188696,57.43,-125.63,777.0,125,1188696.csv,idf_v-3.20_2021_03_26_118_BC_1188696_WARE.txt
FORT NELSON A,BC,1192940,58.83,-122.6,381.0,126,1192940.csv,idf_v-3.20_2021_03_26_119_BC_1192940_FORT_NELSON_A.txt
MUNCHO LAKE,BC,1195250,58.93,-125.77,836.0,127,1195250.csv,idf_v-3.20_2021_03_26_119_BC_1195250_MUNCHO_LAKE.txt
TETSA RIVER,BC,1195J29,58.65,-124.23,810.0,128,1195J29.csv,idf_v-3.20_2021_03_26_119_BC_1195J29_TETSA_RIVER.txt
DEASE LAKE (AUT),BC,119BLM0,58.43,-130.03,800.0,129,119BLM0.csv,idf_v-3.20_2021_03_26_119_BC_119BLM0_DEASE_LAKE_(AUT).txt
ATLIN,BC,1200560,59.57,-133.7,673.0,130,1200560.csv,idf_v-3.20_2021_03_26_120_BC_1200560_ATLIN.txt
PLEASANT CAMP,BC,1206197,59.45,-136.37,274.0,131,1206197.csv,idf_v-3.20_2021_03_26_120_BC_1206197_PLEASANT_CAMP.txt
TELEGRAPH CREEK,BC,1208041,57.9,-131.33,249.0,132,1208041.csv,idf_v-3.20_2021_03_26_120_BC_1208041_TELEGRAPH_CREEK.txt
TODAGIN RANCH,BC,1208202,57.6,-130.07,899.0,133,1208202.csv,idf_v-3.20_2021_03_26_120_BC_1208202_TODAGIN_RANCH.txt
