id x.crtm y.crtm x.wgs y.wgs basin number
73096 538583 1105608 -83.648059828822 9.9985828753865 73 96
73097 533100 1107446 -83.6980578704214 10.0152506520757 73 97
73098 542235 1107455 -83.6147284601485 10.0152459505636 73 98
73099 527626 1098225 -83.7480559253126 9.93191790021504 73 99
74019 348907 1188870 -85.3813824789622 10.7485218794061 74 19
74023 358023 1188831 -85.2980523946118 10.7485288208781 74 23
74032 346992 1168597 -85.3980504583421 10.5652002636281 74 32
74033 345294 1196262 -85.4147199868724 10.8151869205446 74 33
74034 339817 1194444 -85.4647139194783 10.7985215403335 74 34
74036 352562 1190698 -85.3480461953278 10.7651918298988 74 36
74042 388612 1191579 -85.018504861871 10.7744136235192 74 42
74044 346211 1197635 -85.4063940490504 10.8276353001536 74 44
74046 312208 1162290 -85.7154703959705 10.5066339350437 74 46
74052 355215 1190280 -85.3237774940191 10.7615180027067 74 52
74054 344157 1197474 -85.4251669001045 10.8260938772462 74 54
75002 553184 1116686 -83.5147285017159 10.098577379731 75 2
75003 547745 1085344 -83.5647303963527 9.8152641380058 75 3
75004 553230 1085351 -83.5147272623565 9.81525955337176 75 4
75005 547731 1096403 -83.5647268813245 9.91525614365219 75 5
75006 549581 1079817 -83.5480603245852 9.76526881533812 75 6
75007 555069 1077981 -83.4980623691234 9.74859833947023 75 7
75008 544100 1076124 -83.598059621657 9.73194014988347 75 8
75014 545903 1096401 -83.5813966498664 9.91525925410348 75 14
75015 549578 1081660 -83.5480651893026 9.78193270377956 75 15
75016 553219 1092724 -83.5147302224964 9.88192353407958 75 16
75017 549546 1105621 -83.5480611427077 9.99857976365221 75 17
75018 553192 1111156 -83.5147302168538 10.0485778065773 75 18
75020 549588 1074287 -83.5480637448311 9.71526803524455 75 20
75021 547760 1074285 -83.5647234789257 9.71527153358809 75 21
75022 558676 1109322 -83.464728473206 10.0319187892877 75 22
75024 555016 1113002 -83.498064586761 10.0652436044548 75 24
75028 547763 1094898 -83.5644530111866 9.9016480855652 75 28
76006 387126 1168441 -85.0313856610098 10.5652008891298 76 6
76009 357923 1164863 -85.2980496772634 10.5318742474547 76 9
76012 381666 1172147 -85.0813877571793 10.5985359109502 76 12
76013 396180 1146291 -84.9480545164753 10.3652164000309 76 13
76017 398038 1157347 -84.9313861353353 10.4652169694257 76 17
76018 390745 1159212 -84.9980522458656 10.4818752709983 76 18
76019 390757 1162899 -84.9980495664391 10.5152068477581 76 19
76020 390727 1153682 -84.9980569075269 10.4318822975011 76 20
76021 381615 1157399 -85.0813887086247 10.465213212225 76 21
76022 396208 1155509 -84.9480505181798 10.4485514782845 76 22
76023 392558 1155520 -84.9813871030777 10.4485501273053 76 23
76024 388920 1159218 -85.0147221295953 10.4818767732494 76 24
76026 363396 1164841 -85.248054624132 10.5318763749399 76 26
76028 385259 1155543 -85.0480501862187 10.4485460473962 76 28
76029 379875 1181371 -85.0980509699941 10.6818626829846 76 29
76031 367074 1172201 -85.2147180838198 10.5985377505607 76 31
76032 377999 1166629 -85.1147140043683 10.5485372895569 76 32
76033 357954 1172238 -85.2980464491375 10.5985395972704 76 33
76034 368934 1181412 -85.1980484825348 10.6818658506921 76 34
76035 358008 1185143 -85.2980472365697 10.715191989979 76 35
76036 372574 1179554 -85.1647168471331 10.6651960691577 76 36
76038 379771 1151875 -85.0980553368939 10.41521893591 76 38
76039 363485 1186964 -85.2480540904224 10.7318571428024 76 39
76040 377966 1157412 -85.1147166391427 10.4652158620307 76 40
76044 370764 1183248 -85.1813875048337 10.6985261371058 76 44
76046 365301 1185113 -85.2313867641665 10.7151914642124 76 46
76048 370729 1174030 -85.1813860329636 10.6151982678284 76 48
76050 370757 1181405 -85.1813870327151 10.6818660216465 76 50
76052 368934 1181412 -85.1980484825348 10.6818658506921 76 52
76060 368108 1145320 -85.2043314158811 10.355580984931 76 60
76064 373862 1184926 -85.1531290966457 10.7138005729455 76 64
76066 371759 1137092 -85.1707232770508 10.2813246479043 76 66
77001 573281 1114878 -83.3313969021348 10.081910220713 77 1
78002 412589 1138873 -84.7980539615977 10.2985586883999 78 2
78004 399768 1124160 -84.9147177455865 10.1652348099152 78 4
78012 427175 1129623 -84.6647174819692 10.2152295536243 78 12
78014 407107 1137044 -84.8480562454567 10.2818959061036 78 14
78016 412589 1138873 -84.7980539615977 10.2985586883999 78 16
78018 422563 1108343 -84.7063909440937 10.0227463083215 78 18
78020 417148 1110598 -84.7558317549554 10.0430251130514 78 20
78021 417148 1110598 -84.7558317549554 10.0430251130514 78 21
78088 514841 1077944 -83.8647267823924 9.74860598070973 78 88
79005 560540 1087206 -83.4480597361284 9.83192966975382 79 5
79010 562374 1083523 -83.4313965976953 9.79860210283508 79 10
79011 569631 1113028 -83.3647301242455 10.0652495964392 79 11
79012 571480 1101972 -83.348061269396 9.96525657351753 79 12
79014 567862 1081689 -83.3814004640041 9.78193264342501 79 14
79016 556917 1065082 -83.4813979075702 9.63194486049818 79 16
79098 533134 1088390 -83.6979056156427 9.84295034712407 79 98
80005 439929 1113010 -84.5480526348595 10.0652418895632 80 5
80007 430780 1105654 -84.6313906358241 9.99858526504432 80 7
80008 421644 1105672 -84.7147208896028 9.99857946197944 80 8
80010 421644 1105672 -84.7147208896028 9.99857946197944 80 10
80011 421644 1105672 -84.7147208896028 9.99857946197944 80 11
81004 602537 1105733 -83.0647287951066 9.99858571555822 81 4
83003 591600 1094643 -83.1647353941279 9.8985871318745 83 3
84000 491075 1098216 -84.0813941225091 9.93192109042141 84 0
84027 449065 1114839 -84.4647268351826 10.0819064937164 84 27
84034 461837 1100078 -84.3480554214756 9.94858569172795 84 34
84043 481945 1112965 -84.1647252409133 10.0652483160485 84 43
84047 467318 1098230 -84.2980527376182 9.93192481728538 84 47
84048 461835 1098235 -84.3480560220011 9.93192177258851 84 48
84063 474647 1125871 -84.2313921849601 10.1819008375104 84 63
84095 481939 1100062 -84.1647210758133 9.94858168864562 84 95
