id	x	y
84140	494121	1098277
84142	482853	1101936
84986	463151	1104316
84997	1116000	9824181
84999	490345	1100305
87006	652159	1050760
87010	614841	1052791
88015	468194	1067415
88018	501098	1074491
88020	503712	1066729
88023	509554	1066543
88024	488909	1067110
88028	488786	1065970
88030	501281	1068904
88032	505891	1065998
88034	493964	1073039
88036	478378	1065017
88040	488970	1071145
88993	5097330	1357574
92004	495919	1057084
92006	495975	1062572
92010	511830	1061198
92012	500704	1060170
92999	1129321	9826351
94005	515461	1054436
94006	502964	1045776
94008	521768	1048221
94012	519862	1040813
94014	506049	1042199
94016	4988463	1050460
98006	560708	1018486
98007	614231	976159
98010	549275	1035202
98011	542451	1015726
98012	590345	996831
98013	622821	982673
98015	586196	1005875
98017	553987	1009553
98018	576150	1020775
98019	568748	1011165
98020	539856	1043050
98021	545065	1046955
98023	541668	1022087
98024	628110	988747
98031	536985	1050052
98032	527931	1031266
98033	554437	1032577
98034	596668	990217
98035	604750	978991
98036	564771	997709
98037	572845	988866
98038	555438	999436
98039	574071	995587
98040	534490	1048584
98043	634656	982768
98050	619671	988389
98051	600775	1003424
98057	578015	1002852
98058	534265	1020005
98059	538355	1035649
98061	529949	1043710
98066	610046	995879
98068	589987	1013371
98070	562528	1024559
98072	535432	1037523
98074	542899	986767
98076	552625	979276
98078	543115	998754
98080	567421	1004068
98086	543415	1037916
98088	525780	1039157
98090	616347	993305
98598	410844	1170215
98801	590260	996526
