Lat,Lon,Elevation
47.981396,-118.01047,846
48.014397,-117.886444,779
48.04724,-117.76224,633
48.079937,-117.63788,750
48.112488,-117.513306,948
48.144897,-117.388596,751
48.17714,-117.2637,782
48.209232,-117.13867,854
48.241188,-117.01343,1072
48.272972,-116.88806,690
48.304607,-116.76253,1134
48.336098,-116.636826,1192
48.367424,-116.510956,704
48.39862,-116.38489,788
48.429646,-116.2587,1104
48.460514,-116.132355,1299
48.491226,-116.00583,1031
48.521793,-115.87912,808
48.552204,-115.752304,1674
48.58246,-115.625275,1285
48.61255,-115.49811,1560
48.642487,-115.37076,1204
48.672268,-115.243286,1304
48.70189,-115.11565,1565
48.73136,-114.98784,1115
48.760674,-114.85986,959
48.78983,-114.731735,1883
48.81882,-114.603455,1686
48.84765,-114.47504,1381
48.876335,-114.346436,1186
48.90485,-114.21771,1724
48.93321,-114.088806,1554
48.9614,-113.95975,2148
48.989445,-113.830505,2181
49.017315,-113.70116,1505
49.045025,-113.571655,1440
49.072586,-113.441986,1348
49.09997,-113.31218,1280
49.127205,-113.182175,1158
49.15428,-113.05206,1242
49.18118,-112.9218,1355
49.207912,-112.79138,1256
49.234497,-112.6608,1287
45.442856,-126.21025,0
45.48537,-126.09822,0
45.527763,-125.98599,0
45.570034,-125.8736,0
45.612164,-125.76103,0
45.654182,-125.648285,0
45.696075,-125.53531,0
45.737843,-125.422195,0
45.77947,-125.308914,0
45.82098,-125.195435,0
45.862362,-125.08179,0
45.90362,-124.967926,0
45.94475,-124.8539,0
45.98574,-124.7397,0
46.02661,-124.62532,0
46.067356,-124.51074,0
46.10796,-124.39603,0
46.148434,-124.2811,0
46.188778,-124.166,0
46.22901,-124.05069,0
46.269096,-123.93524,6
46.309048,-123.81961,123
46.348873,-123.7038,78
46.388557,-123.58778,107
46.42812,-123.47162,240
46.467545,-123.355255,572
46.506836,-123.23871,489
46.545994,-123.121994,149
46.58502,-123.0051,67
46.62391,-122.888016,114
46.662666,-122.77078,123
46.70128,-122.653336,610
46.73977,-122.53572,514
46.778114,-122.41792,293
46.816322,-122.29996,422
46.854397,-122.18182,431
46.89234,-122.06349,1086
46.930138,-121.94498,953
46.967804,-121.82631,975
47.005325,-121.70746,945
47.042713,-121.58841,1298
47.079956,-121.46921,1408
47.117065,-121.34982,1276
47.154026,-121.230286,1013
47.19087,-121.110504,696
47.22755,-120.9906,779
47.264095,-120.870514,718
47.300503,-120.750244,1378
47.336765,-120.62979,1113
47.372887,-120.50917,801
47.40887,-120.38837,617
47.444706,-120.26741,473
47.480404,-120.146255,926
47.515953,-120.02493,983
47.55136,-119.90346,656
47.58662,-119.781815,753
47.62174,-119.65997,652
47.656723,-119.53792,666
47.691547,-119.41574,698
47.726234,-119.293396,722
47.76077,-119.17087,686
47.79516,-119.04816,768
47.829403,-118.92528,808
47.863506,-118.80223,810
47.89745,-118.679016,772
47.931267,-118.55562,384
47.964916,-118.43207,1184
47.998425,-118.308334,782
48.031773,-118.18445,630
48.06499,-118.06035,1173
48.09805,-117.9361,973
48.13096,-117.81171,702
48.163715,-117.68713,692
48.196327,-117.56238,876
48.228786,-117.43747,1122
48.261093,-117.31241,709
48.293247,-117.187164,707
48.325256,-117.06174,1102
48.3571,-116.93616,816
48.3888,-116.81041,847
48.420345,-116.68451,1668
48.451733,-116.55844,910
48.48298,-116.43219,866
48.514057,-116.305786,1207
48.54499,-116.179214,1786
