GridCell,Lat,Lon,μ,ϕ,ξ,q
10216,53.274112701416016,-129.386962890625,162.1565079391767,3.6036920723823465,-0.08980554330419435,171.55152477269354
10217,53.3200798034668,-129.2575225830078,160.37459076575476,3.609362476142245,0.04099739586090405,171.77514237009115
10218,53.365909576416016,-129.12779235839844,159.58852263274525,3.5955835395899474,0.0993109610659931,172.01020113840625
10219,53.411598205566406,-128.997802734375,148.55394464491138,3.6541005878724375,0.05047116867123975,160.26306996704946
10220,53.4571533203125,-128.86753845214844,141.467225424807,3.6498745051272667,0.0077983668068526595,152.43459175743428
10221,53.5025634765625,-128.73696899414062,141.9140326422759,3.5937997879880315,0.06772877360772275,153.73774725856416
10222,53.54783630371094,-128.6061553955078,140.67360657590694,3.510140840994073,0.178782598764039,154.43015838621605
10223,53.592960357666016,-128.4750518798828,138.073123851577,3.4116436223572397,0.2192765567544701,152.35628411850246
10224,53.637943267822266,-128.34365844726562,117.59694366455996,3.3055051871874044,0.19803670848203425,130.96269672420402
10225,53.682796478271484,-128.2119903564453,95.67402809383908,3.170807264315327,0.21849068902056806,108.93175584481237
10226,53.727500915527344,-128.08006286621094,75.29242820007734,2.9343395126870258,0.28719005508113205,89.05222962419218
10227,53.77205276489258,-127.94784545898438,56.95099108074357,2.67818653994006,0.26753380000891375,69.1000783500592
10228,53.816463470458984,-127.81536865234375,40.9564289431028,2.4052287635087106,0.23612827311293919,51.31027662682196
10229,53.860740661621094,-127.68255615234375,33.9550470666466,2.3345629887862094,0.07539114938456874,41.72686453952645
10230,53.904869079589844,-127.54949951171875,34.783724518173216,2.5180177092309712,-0.16818011866958799,40.670516717660036
10231,53.948848724365234,-127.41616821289062,35.15220543064819,2.515734661088368,-0.08291752480207729,41.775400796167375
10232,53.99268341064453,-127.28256225585938,30.573147828280092,2.4540902428584417,-0.0657447993585421,37.19473242027594
10233,54.036373138427734,-127.14866638183594,26.35273797540646,2.3443683221799345,0.04087550696858075,33.75630483661471
10234,54.07990646362305,-127.01449584960938,26.329566311713208,2.3323837457343033,0.071976187206346,34.053422511483866
10235,54.12329864501953,-126.88006591796875,27.49851364916325,2.3256839042166755,0.05778609626227693,35.03447935837755
10236,54.166534423828125,-126.74533081054688,27.59620851114856,2.3002886857743454,0.05219163041591591,34.98654361113566
10237,54.20964431762695,-126.61029052734375,28.912441972019906,2.156733646602463,-0.02465645733498869,35.08941766635799
10238,54.252593994140625,-126.47500610351562,28.628680093233204,2.107543695685812,-0.09709882237646285,34.066688387910894
10239,54.295387268066406,-126.33944702148438,29.64327167274365,2.204832583512657,-0.16178994986518408,34.843012973251206
10240,54.33803176879883,-126.20361328125,29.427951665210664,2.177183254415923,-0.21174211844415772,34.22801232803839
10241,54.38053512573242,-126.06745910644531,26.89750616013278,2.0250759139306473,-0.019714157644606406,32.739664387320765
10242,54.42287063598633,-125.93106079101562,26.073872320101604,2.038794623162909,-0.09677869222309206,31.336871923663217
10243,54.46506118774414,-125.79435729980469,27.256889040325593,2.086162139750526,-0.1950286968302941,31.96016742029433
10244,54.507110595703125,-125.65737915039062,26.30945703809579,2.059777159648279,-0.1659816967164588,31.13939198352881
10245,54.54898452758789,-125.52012634277344,25.93644409534564,2.0208703465655993,-0.09866307589436524,31.139298223574723
10246,54.59072494506836,-125.38262939453125,26.49891428793339,1.9666779961984937,-0.009381430259495937,32.2596979952912
10247,54.63229751586914,-125.24481201171875,27.104777457119088,1.9840956418548146,0.10384396401128929,34.00787395639436
10248,54.67372131347656,-125.10673522949219,27.59239893049565,2.07664738873695,0.007128458899284486,33.82620821576271
10249,54.71498107910156,-124.96836853027344,27.50308285522836,2.0147140361221316,-0.10209715132806531,32.66500718159798
10250,54.75611114501953,-124.82968139648438,28.798821215693895,2.1196256841445082,-0.24406775720464818,33.27694606360726
10251,54.797061920166016,-124.69078063964844,29.10247646187206,1.9028129516840901,-0.0226941298473527,34.567931013001946
10252,54.83785629272461,-124.55157470703125,27.780923354907117,1.7914351792432568,0.09569238835016416,33.93503880523219
10253,54.87849426269531,-124.41209411621094,29.299180931718382,1.6968887696550956,0.11363869200086431,35.29421274585528
10254,54.91897964477539,-124.27230834960938,30.43953664866183,1.8118260445299106,0.061889721956722155,36.34739124354034
10255,54.95930480957031,-124.13227844238281,30.062593736026635,1.9889131027130662,0.03696853910502642,36.306588785320926
10256,54.999473571777344,-123.991943359375,30.410233922048313,2.05436154401895,0.16124186288396294,38.23732831692441
10257,55.03947448730469,-123.85134887695312,30.492740726750263,2.112915214774477,0.13099696337318167,38.164450378592036
